# Tetrahedron method
       -2.4713131380        0.0000000000
       -2.4244721035        0.0000000000
       -2.3776310690        0.0000000000
       -2.3307900345        0.0000000000
       -2.2839489999        0.0000000000
       -2.2371079654        0.0000000000
       -2.1902669309        0.0000000000
       -2.1434258964        0.0000000000
       -2.0965848619        0.0000000000
       -2.0497438273        0.0000000000
       -2.0029027928        0.0000000000
       -1.9560617583        0.0000000000
       -1.9092207238        0.0000000000
       -1.8623796893        0.0000000000
       -1.8155386548        0.0000000000
       -1.7686976202        0.0000000000
       -1.7218565857        0.0000000000
       -1.6750155512        0.5831265147
       -1.6281745167        0.5615554820
       -1.5813334822        0.6064199405
       -1.5344924476        0.6500082239
       -1.4876514131        0.6105527333
       -1.4408103786        0.5683531567
       -1.3939693441        0.5461743934
       -1.3471283096        0.5285297777
       -1.3002872751        0.5000387965
       -1.2534462405        0.4866555006
       -1.2066052060        0.4768458082
       -1.1597641715        0.4530071376
       -1.1129231370        0.4388749954
       -1.0660821025        0.4275055730
       -1.0192410679        0.4218253887
       -0.9724000334        0.4093260606
       -0.9255589989        0.3869215180
       -0.8787179644        0.3733911774
       -0.8318769299        0.3655640699
       -0.7850358954        0.3607941917
       -0.7381948608        0.3592472860
       -0.6913538263        0.3535662029
       -0.6445127918        0.3088132936
       -0.5976717573        0.2738568895
       -0.5508307228        0.2480031835
       -0.5039896882        0.2269841009
       -0.4571486537        0.2055462578
       -0.4103076192        0.1860445582
       -0.3634665847        0.1673755446
       -0.3166255502        0.1500528292
       -0.2697845157        0.1354278267
       -0.2229434811        0.1249868015
       -0.1761024466        0.1185135127
       -0.1292614121        0.1272926300
       -0.0824203776        0.1274245814
       -0.0355793431        0.1231094767
        0.0112616915        0.1242333747
        0.0581027260        0.1273759064
        0.1049437605        0.1393882885
        0.1517847950        0.1678077671
        0.1986258295        0.2016542114
        0.2454668640        0.2550299165
        0.2923078986        0.3367842891
        0.3391489331        0.4175583543
        0.3859899676        0.4620137344
        0.4328310021        0.5274979638
        0.4796720366        0.5981817772
        0.5265130712        0.6841374732
        0.5733541057        0.7909141470
        0.6201951402        0.9310001143
        0.6670361747        1.0278938176
        0.7138772092        1.1573890922
        0.7607182438        1.3405904206
        0.8075592783        1.5359338303
        0.8544003128        1.8628885330
        0.9012413473        1.9540493553
        0.9480823818        2.0630858298
        0.9949234163        2.1500942184
        1.0417644509        2.2106482439
        1.0886054854        2.2187342212
        1.1354465199        2.2186314429
        1.1822875544        2.2091863603
        1.2291285889        2.2080309962
        1.2759696235        2.1777264727
        1.3228106580        2.3437108166
        1.3696516925        2.6838959150
        1.4164927270        3.0499691496
        1.4633337615        3.5707062620
        1.5101747960        4.3540131229
        1.5570158306        4.9579880897
        1.6038568651        7.2015580534
        1.6506978996        5.7194471818
        1.6975389341        5.2535098582
        1.7443799686        5.9561571042
        1.7912210032        6.2301118169
        1.8380620377        4.5481779833
        1.8849030722        4.5798990958
        1.9317441067        5.1559684712
        1.9785851412        6.0266377713
        2.0254261757        5.3007150745
        2.0722672103        4.6076004779
        2.1191082448        5.9697576631
        2.1659492793        5.8140998566
        2.2127903138        6.2338651307
        2.2596313483        5.8933012445
        2.3064723829        6.7613867111
        2.3533134174        6.8259948198
        2.4001544519        7.3540691708
        2.4469954864        7.1973038250
        2.4938365209        7.2163250944
        2.5406775554        7.0912935687
        2.5875185900        7.0519312871
        2.6343596245        7.5776936017
        2.6812006590        7.7569635247
        2.7280416935        7.7483127785
        2.7748827280        7.9559967335
        2.8217237626        8.2326752450
        2.8685647971        7.9566049695
        2.9154058316        7.5340539882
        2.9622468661        7.5324301781
        3.0090879006        7.2971841203
        3.0559289352        7.6472507705
        3.1027699697        6.6672368865
        3.1496110042        6.6799432796
        3.1964520387        7.2419876623
        3.2432930732        7.5440230775
        3.2901341077        9.9314146784
        3.3369751423        7.1548075801
        3.3838161768        5.7952381147
        3.4306572113        5.0679926661
        3.4774982458        6.3175997184
        3.5243392803       10.1192781273
        3.5711803149        7.8744355011
        3.6180213494        6.2480302280
        3.6648623839        6.9746491580
        3.7117034184       10.6070792879
        3.7585444529       11.0792925944
        3.8053854874        7.9608451255
        3.8522265220        6.7075333760
        3.8990675565        7.6229823482
        3.9459085910        7.6939673394
        3.9927496255        6.4869651783
        4.0395906600        6.3829105072
        4.0864316946        8.5967299144
        4.1332727291       12.4432286523
        4.1801137636       13.1269811747
        4.2269547981       11.2437901076
        4.2737958326       10.1978393838
        4.3206368671        8.8490679464
        4.3674779017       12.1703372517
        4.4143189362       13.3810459796
        4.4611599707        9.2845399069
        4.5080010052        9.9207994908
        4.5548420397       12.4351707419
        4.6016830743        8.5641157198
        4.6485241088        8.0762656532
        4.6953651433        6.0518293193
        4.7422061778        5.7251344572
        4.7890472123        5.5796884835
        4.8358882468        5.5862224528
        4.8827292814        6.2380834884
        4.9295703159        5.7904477167
        4.9764113504        5.3234323458
        5.0232523849        7.3928193093
        5.0700934194        9.0075036668
        5.1169344540       11.8992167141
        5.1637754885       14.7016251418
        5.2106165230       11.8488593549
        5.2574575575        9.6809203536
        5.3042985920        9.0501669777
        5.3511396265        6.4145973575
        5.3979806611        9.1411808447
        5.4448216956        8.0415872244
        5.4916627301        6.5697020856
        5.5385037646        3.8817485589
        5.5853447991        2.4406498511
        5.6321858337        1.6801792191
        5.6790268682        1.1672656342
        5.7258679027        0.6706794520
        5.7727089372        0.0000000000
        5.8195499717        0.0000000000
        5.8663910063        0.0000000000
        5.9132320408        2.5248609482
        5.9600730753       14.0951865568
        6.0069141098       13.5484792003
